RegionID,SizeRank,RegionName,RegionType,StateName,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394705,34,Indianapolis,msa,IN,1178.231702,1204.920471,1262.785859,1308.198175,1316.764703,1360.762095,1419.942247,1424.957209,1427.34837,1448.938104,1474.690775,1482.017981,1494.670228,1515.847317,1545.030226,1550.228785
394475,35,Cleveland,msa,OH,1049.95201,1080.075964,1120.630245,1150.246116,1150.212986,1193.192268,1226.907546,1233.811231,1237.874573,1261.328937,1279.574718,1293.020794,1318.349384,1345.198874,1374.822503,1384.154529
395059,36,San Jose,msa,CA,2755.269149,2790.457969,2928.01215,2995.338005,2992.526317,3099.379505,3229.552055,3223.367823,3162.775542,3203.791772,3257.183047,3225.488378,3193.413706,3278.886562,3368.36062,3358.886151
394902,37,Nashville,msa,TN,1465.404911,1511.277952,1614.959786,1696.184673,1730.637738,1787.753835,1856.956026,1837.333398,1835.321619,1853.556589,1873.224443,1850.907014,1835.771854,1865.126068,1897.83901,1878.578915
395194,38,Virginia Beach,msa,VA,1322.502275,1364.917614,1460.792679,1517.965541,1515.186048,1544.046598,1588.799871,1615.112965,1610.185893,1637.156455,1661.583163,1685.821675,1681.037322,1717.208935,1759.619296,1771.295776
395005,39,Providence,msa,RI,1539.707677,1612.689287,1668.898308,1705.698834,1733.77339,1803.555156,1885.222285,1881.75538,1892.835191,1946.591224,2008.56711,2017.933387,2040.118875,2096.763833,2141.956632,2134.639543
394714,40,Jacksonville,msa,FL,1310.27908,1360.982648,1467.754542,1555.031174,1583.456714,1626.141897,1671.167921,1679.584083,1666.756937,1685.451346,1702.36403,1692.514538,1678.816835,1703.476998,1715.211077,1718.802228
394862,41,Milwaukee,msa,WI,1057.037431,1085.676637,1107.804266,1132.271395,1143.597969,1169.411899,1200.948134,1215.130995,1225.853036,1247.281377,1267.049704,1278.743822,1292.251886,1308.979117,1335.323914,1334.721359
394935,42,Oklahoma City,msa,OK,1077.27641,1106.301154,1166.008131,1197.116388,1206.092029,1237.8766,1277.040512,1274.546013,1272.384561,1287.830147,1307.473329,1320.478296,1325.381541,1328.661838,1353.468188,1370.732591
395012,43,Raleigh,msa,NC,1377.066843,1414.83171,1529.517223,1589.49351,1615.770795,1661.579122,1739.514598,1740.690936,1715.039696,1743.332183,1774.021318,1752.516071,1732.041491,1754.010334,1777.655378,1759.389968
394849,44,Memphis,msa,TN,1158.572468,1194.214778,1258.123428,1309.436572,1321.349262,1348.7057,1386.132161,1380.701051,1394.231629,1412.800517,1423.476928,1407.249444,1437.905894,1446.904757,1465.389121,1478.966558
395022,45,Richmond,msa,VA,1247.314375,1290.648022,1358.605886,1389.303461,1421.923425,1465.246855,1531.839842,1534.464215,1522.149444,1544.759499,1568.651844,1570.630559,1573.977113,1616.966088,1664.506317,1655.267665
394807,46,Louisville,msa,KY,1042.77988,1062.719007,1090.036214,1117.465492,1142.939875,1183.199665,1216.217476,1232.722653,1241.626815,1263.613035,1281.214638,1291.047316,1322.71789,1351.764772,1367.395428,1374.372233
394910,47,New Orleans,msa,LA,1298.551195,1320.207546,1358.43963,1423.971052,1469.864904,1503.364977,1520.73248,1518.111124,1511.129581,1532.47756,1546.784966,1557.861109,1556.705147,1578.145975,1587.171121,1608.179748
395053,48,Salt Lake City,msa,UT,1289.807639,1358.168445,1440.237145,1501.650077,1534.918979,1597.820252,1642.007338,1644.56339,1624.966537,1635.896958,1657.381328,1650.928387,1639.243304,1664.593608,1694.441827,1679.029501
394669,49,Hartford,msa,CT,1391.709756,1418.878979,1487.564136,1521.53539,1552.025739,1589.203981,1625.433692,1653.846734,1651.167019,1714.687226,1751.580347,1772.60091,1776.102708,1825.171239,1885.808067,1900.463243
